"","X","model","no.tips","tree.height","no.sim","sig2.1","sig2.2","sig2.cov","root.1","root.2","half.life","alpha.1","alpha.2","alpha.cov12","alpha.cov21","theta.1","theta.2","S.1","S.2","S.cov12","S.cov21","tip.sig2.1","tip.sig2.2","tip.sig2.cov","r.1","r.2","r.cov","slope.1","slope.2","slope.cov"
"268",268,"DDlin.neg",100,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.005,0.005,NA,NA,NA,-0.0099,-0.00495,-0.00495
"269",269,"DDlin.neg",100,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.25,-0.25,NA,NA,NA,-0.005,-0.0025,0.0025
"270",270,"DDlin.neg",100,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.005,-0.005,NA,NA,NA,-0.0099,-0.00495,0.00495
"271",271,"DDlin.neg",150,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.25,0,NA,NA,NA,-0.00333333333333333,-0.00166666666666667,0
"272",272,"DDlin.neg",150,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.005,0,NA,NA,NA,-0.0066,-0.0033,0
"273",273,"DDlin.neg",150,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.25,0.25,NA,NA,NA,-0.00333333333333333,-0.00166666666666667,-0.00166666666666667
"274",274,"DDlin.neg",150,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.005,0.005,NA,NA,NA,-0.0066,-0.0033,-0.0033
"275",275,"DDlin.neg",150,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.25,-0.25,NA,NA,NA,-0.00333333333333333,-0.00166666666666667,0.00166666666666667
"276",276,"DDlin.neg",150,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.005,-0.005,NA,NA,NA,-0.0066,-0.0033,0.0033
"277",277,"DDlin.pos",20,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,NA,NA,NA,0.0045,0.00225,0
"278",278,"DDlin.pos",20,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,NA,NA,NA,0.0495,0.02475,0
"279",279,"DDlin.pos",20,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,NA,NA,NA,0.0045,0.00225,0.00225
"280",280,"DDlin.pos",20,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,NA,NA,NA,0.0495,0.02475,0.02475
"281",281,"DDlin.pos",20,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,-0.05,NA,NA,NA,0.0045,0.00225,-0.00225
"282",282,"DDlin.pos",20,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,-0.5,NA,NA,NA,0.0495,0.02475,-0.02475
"283",283,"DDlin.pos",50,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,NA,NA,NA,0.0018,9e-04,0
"284",284,"DDlin.pos",50,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,NA,NA,NA,0.0198,0.0099,0
"285",285,"DDlin.pos",50,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,NA,NA,NA,0.0018,9e-04,9e-04
"286",286,"DDlin.pos",50,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,NA,NA,NA,0.0198,0.0099,0.0099
"287",287,"DDlin.pos",50,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,-0.05,NA,NA,NA,0.0018,9e-04,-9e-04
"288",288,"DDlin.pos",50,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,-0.5,NA,NA,NA,0.0198,0.0099,-0.0099
"289",289,"DDlin.pos",100,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,NA,NA,NA,9e-04,0.00045,0
"290",290,"DDlin.pos",100,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,NA,NA,NA,0.0099,0.00495,0
"291",291,"DDlin.pos",100,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,NA,NA,NA,9e-04,0.00045,0.00045
"292",292,"DDlin.pos",100,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,NA,NA,NA,0.0099,0.00495,0.00495
"293",293,"DDlin.pos",100,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,-0.05,NA,NA,NA,9e-04,0.00045,-0.00045
"294",294,"DDlin.pos",100,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,-0.5,NA,NA,NA,0.0099,0.00495,-0.00495
"295",295,"DDlin.pos",150,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,NA,NA,NA,6e-04,3e-04,0
"296",296,"DDlin.pos",150,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,NA,NA,NA,0.0066,0.0033,0
"297",297,"DDlin.pos",150,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,NA,NA,NA,6e-04,3e-04,3e-04
"298",298,"DDlin.pos",150,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,NA,NA,NA,0.0066,0.0033,0.0033
"299",299,"DDlin.pos",150,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,-0.05,NA,NA,NA,6e-04,3e-04,-3e-04
"300",300,"DDlin.pos",150,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,-0.5,NA,NA,NA,0.0066,0.0033,-0.0033
"301",1,"DDexp.neg",20,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.0346573590279973,-0.0202732554054082,-0.0458145365937078,NA,NA,NA
"302",2,"DDexp.neg",20,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,-0.115129254649702,-0.135402510055111,-0.080471895621705,NA,NA,NA
"303",3,"DDexp.neg",20,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.0346573590279973,-0.0255412811882995,-0.0458145365937078,NA,NA,NA
"304",4,"DDexp.neg",20,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.05,-0.115129254649702,-0.080471895621705,-0.080471895621705,NA,NA,NA
"305",5,"DDexp.neg",20,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.0346573590279973,-0.0202732554054082,0,NA,NA,NA
"306",6,"DDexp.neg",20,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,-0.115129254649702,-0.135402510055111,0,NA,NA,NA
"307",7,"DDexp.neg",20,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.0346573590279973,-0.0255412811882995,0,NA,NA,NA
"308",8,"DDexp.neg",20,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,-0.115129254649702,-0.080471895621705,0,NA,NA,NA
"309",9,"DDexp.neg",20,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.0346573590279973,-0.0202732554054082,0,NA,NA,NA
"310",10,"DDexp.neg",20,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.0601986402162968,-0.0549306144334055,0,NA,NA,NA
"311",11,"DDexp.neg",20,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.0346573590279973,-0.0255412811882995,0,NA,NA,NA
"312",12,"DDexp.neg",20,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.0601986402162968,-0.0346573590279973,0,NA,NA,NA
"313",13,"DDexp.neg",50,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.0138629436111989,-0.00810930216216329,-0.0183258146374831,NA,NA,NA
"314",14,"DDexp.neg",50,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,-0.0460517018598809,-0.0541610040220442,-0.032188758248682,NA,NA,NA
"315",15,"DDexp.neg",50,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.0138629436111989,-0.0102165124753198,-0.0183258146374831,NA,NA,NA
"316",16,"DDexp.neg",50,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.05,-0.0460517018598809,-0.032188758248682,-0.032188758248682,NA,NA,NA
"317",17,"DDexp.neg",50,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.0138629436111989,-0.00810930216216329,0,NA,NA,NA
"318",18,"DDexp.neg",50,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,-0.0460517018598809,-0.0541610040220442,0,NA,NA,NA
"319",19,"DDexp.neg",50,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.0138629436111989,-0.0102165124753198,0,NA,NA,NA
"320",20,"DDexp.neg",50,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,-0.0460517018598809,-0.032188758248682,0,NA,NA,NA
"321",21,"DDexp.neg",50,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.0138629436111989,-0.00810930216216329,0,NA,NA,NA
"322",22,"DDexp.neg",50,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.0240794560865187,-0.0219722457733622,0,NA,NA,NA
"323",23,"DDexp.neg",50,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.0138629436111989,-0.0102165124753198,0,NA,NA,NA
"324",24,"DDexp.neg",50,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.0240794560865187,-0.0138629436111989,0,NA,NA,NA
"325",25,"DDexp.neg",100,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.00693147180559945,-0.00405465108108164,-0.00916290731874155,NA,NA,NA
"326",26,"DDexp.neg",100,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,-0.0230258509299405,-0.0270805020110221,-0.016094379124341,NA,NA,NA
"327",27,"DDexp.neg",100,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.00693147180559945,-0.00510825623765991,-0.00916290731874155,NA,NA,NA
"328",28,"DDexp.neg",100,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.05,-0.0230258509299405,-0.016094379124341,-0.016094379124341,NA,NA,NA
"329",29,"DDexp.neg",100,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.00693147180559945,-0.00405465108108164,0,NA,NA,NA
"330",30,"DDexp.neg",100,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,-0.0230258509299405,-0.0270805020110221,0,NA,NA,NA
"331",31,"DDexp.neg",100,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.00693147180559945,-0.00510825623765991,0,NA,NA,NA
"332",32,"DDexp.neg",100,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,-0.0230258509299405,-0.016094379124341,0,NA,NA,NA
"333",33,"DDexp.neg",100,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.00693147180559945,-0.00405465108108164,0,NA,NA,NA
"334",34,"DDexp.neg",100,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.0120397280432594,-0.0109861228866811,0,NA,NA,NA
"335",35,"DDexp.neg",100,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.00693147180559945,-0.00510825623765991,0,NA,NA,NA
"336",36,"DDexp.neg",100,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.0120397280432594,-0.00693147180559945,0,NA,NA,NA
"337",37,"DDexp.neg",150,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.00462098120373297,-0.0027031007207211,-0.00610860487916103,NA,NA,NA
"338",38,"DDexp.neg",150,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0.05,-0.015350567286627,-0.0180536680073481,-0.010729586082894,NA,NA,NA
"339",39,"DDexp.neg",150,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.00462098120373297,-0.00340550415843994,-0.00610860487916103,NA,NA,NA
"340",40,"DDexp.neg",150,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.05,-0.015350567286627,-0.010729586082894,-0.010729586082894,NA,NA,NA
"341",41,"DDexp.neg",150,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.00462098120373297,-0.0027031007207211,0,NA,NA,NA
"342",42,"DDexp.neg",150,10,100,1,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,0,-0.015350567286627,-0.0180536680073481,0,NA,NA,NA
"343",43,"DDexp.neg",150,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.00462098120373297,-0.00340550415843994,0,NA,NA,NA
"344",44,"DDexp.neg",150,10,100,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,-0.015350567286627,-0.010729586082894,0,NA,NA,NA
"345",45,"DDexp.neg",150,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.00462098120373297,-0.0027031007207211,0,NA,NA,NA
"346",46,"DDexp.neg",150,10,100,1,0.75,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.00802648536217291,-0.00732408192445407,0,NA,NA,NA
"347",47,"DDexp.neg",150,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.00462098120373297,-0.00340550415843994,0,NA,NA,NA
"348",48,"DDexp.neg",150,10,100,1,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.25,-0.00802648536217291,-0.00462098120373297,0,NA,NA,NA
"349",49,"DDexp.pos",20,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.0346573590279973,-0.0202732554054082,-0.0458145365937078,NA,NA,NA
"350",50,"DDexp.pos",20,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.115129254649702,-0.135402510055111,-0.080471895621705,NA,NA,NA
"351",51,"DDexp.pos",20,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.0346573590279973,-0.0255412811882995,-0.0458145365937078,NA,NA,NA
"352",52,"DDexp.pos",20,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.115129254649702,-0.080471895621705,-0.080471895621705,NA,NA,NA
"353",53,"DDexp.pos",20,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.0346573590279973,-0.0202732554054082,0,NA,NA,NA
"354",54,"DDexp.pos",20,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0,-0.115129254649702,-0.135402510055111,0,NA,NA,NA
"355",55,"DDexp.pos",20,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.0346573590279973,-0.0255412811882995,0,NA,NA,NA
"356",56,"DDexp.pos",20,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,-0.115129254649702,-0.080471895621705,0,NA,NA,NA
"357",57,"DDexp.pos",20,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.0346573590279973,-0.0202732554054082,0,NA,NA,NA
"358",58,"DDexp.pos",20,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.0601986402162968,-0.0549306144334055,0,NA,NA,NA
"359",59,"DDexp.pos",20,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.0346573590279973,-0.0255412811882995,0,NA,NA,NA
"360",60,"DDexp.pos",20,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.0601986402162968,-0.0346573590279973,0,NA,NA,NA
"361",61,"DDexp.pos",50,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.0138629436111989,-0.00810930216216329,-0.0183258146374831,NA,NA,NA
"362",62,"DDexp.pos",50,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.0460517018598809,-0.0541610040220442,-0.032188758248682,NA,NA,NA
"363",63,"DDexp.pos",50,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.0138629436111989,-0.0102165124753198,-0.0183258146374831,NA,NA,NA
"364",64,"DDexp.pos",50,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.0460517018598809,-0.032188758248682,-0.032188758248682,NA,NA,NA
"365",65,"DDexp.pos",50,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.0138629436111989,-0.00810930216216329,0,NA,NA,NA
"366",66,"DDexp.pos",50,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0,-0.0460517018598809,-0.0541610040220442,0,NA,NA,NA
"367",67,"DDexp.pos",50,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.0138629436111989,-0.0102165124753198,0,NA,NA,NA
"368",68,"DDexp.pos",50,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,-0.0460517018598809,-0.032188758248682,0,NA,NA,NA
"369",69,"DDexp.pos",50,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.0138629436111989,-0.00810930216216329,0,NA,NA,NA
"370",70,"DDexp.pos",50,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.0240794560865187,-0.0219722457733622,0,NA,NA,NA
"371",71,"DDexp.pos",50,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.0138629436111989,-0.0102165124753198,0,NA,NA,NA
"372",72,"DDexp.pos",50,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.0240794560865187,-0.0138629436111989,0,NA,NA,NA
"373",73,"DDexp.pos",100,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.00693147180559945,-0.00405465108108164,-0.00916290731874155,NA,NA,NA
"374",74,"DDexp.pos",100,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.0230258509299405,-0.0270805020110221,-0.016094379124341,NA,NA,NA
"375",75,"DDexp.pos",100,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.00693147180559945,-0.00510825623765991,-0.00916290731874155,NA,NA,NA
"376",76,"DDexp.pos",100,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.0230258509299405,-0.016094379124341,-0.016094379124341,NA,NA,NA
"377",77,"DDexp.pos",100,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.00693147180559945,-0.00405465108108164,0,NA,NA,NA
"378",78,"DDexp.pos",100,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0,-0.0230258509299405,-0.0270805020110221,0,NA,NA,NA
"379",79,"DDexp.pos",100,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.00693147180559945,-0.00510825623765991,0,NA,NA,NA
"380",80,"DDexp.pos",100,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,-0.0230258509299405,-0.016094379124341,0,NA,NA,NA
"381",81,"DDexp.pos",100,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.00693147180559945,-0.00405465108108164,0,NA,NA,NA
"382",82,"DDexp.pos",100,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.0120397280432594,-0.0109861228866811,0,NA,NA,NA
"383",83,"DDexp.pos",100,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.25,-0.00693147180559945,-0.00510825623765991,0,NA,NA,NA
"384",84,"DDexp.pos",100,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.0120397280432594,-0.00693147180559945,0,NA,NA,NA
"385",85,"DDexp.pos",150,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.1,-0.00462098120373297,-0.0027031007207211,-0.00610860487916103,NA,NA,NA
"386",86,"DDexp.pos",150,10,100,0.1,0.05,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0.25,-0.015350567286627,-0.0180536680073481,-0.010729586082894,NA,NA,NA
"387",87,"DDexp.pos",150,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.1,-0.00462098120373297,-0.00340550415843994,-0.00610860487916103,NA,NA,NA
"388",88,"DDexp.pos",150,10,100,0.1,0.1,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.25,-0.015350567286627,-0.010729586082894,-0.010729586082894,NA,NA,NA
"389",89,"DDexp.pos",150,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.00462098120373297,-0.0027031007207211,0,NA,NA,NA
"390",90,"DDexp.pos",150,10,100,0.1,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.75,0,-0.015350567286627,-0.0180536680073481,0,NA,NA,NA
"391",91,"DDexp.pos",150,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0,-0.00462098120373297,-0.00340550415843994,0,NA,NA,NA
"392",92,"DDexp.pos",150,10,100,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,-0.015350567286627,-0.010729586082894,0,NA,NA,NA
"393",93,"DDexp.pos",150,10,100,0.3,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.25,-0.00462098120373297,-0.0027031007207211,0,NA,NA,NA
