"","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","log.likelihood","convergence"
"1","20",1,1,0,0,0.5,0,0,1.03169802838659,-0.253287938453991,-0.253287938453991,0.513513371650856,0.0417207394270834,0.505714650372949,-44.5231984580102,0
"2","20",2,1,0,0,0.5,0,0,1.05243864429498,0.150082399554743,0.150082399554743,0.363603568916644,0.25627229916525,0.0187603961700605,-50.0344769796139,0
"3","20",3,1,0,0,0.5,0,0,0.965886628168343,-0.089153034478208,-0.089153034478208,0.52057319290134,0.830914895248099,0.0604799834822805,-32.8684509915471,0
"4","20",4,1,0,0,0.5,0,0,1.07472891818345,-0.17149411051272,-0.17149411051272,0.725909467478051,-1.68107355380604,-0.186554875265999,-55.9789803696646,0
"5","20",5,1,0,0,0.5,0,0,1.17571671442358,0.177137977819839,0.177137977819839,0.520660757085128,-0.164940687590999,-0.359478783417686,-45.2848611166302,0
"6","20",6,1,0,0,0.5,0,0,0.754241396934131,0.026329162213524,0.026329162213524,0.36851635697215,-0.674390644102312,0.164401296598485,-37.7500887782924,0
"7","20",7,1,0,0,0.5,0,0,0.71932112588404,0.319090598902972,0.319090598902972,0.467283375412764,0.842455534783815,0.373690256580654,-39.4058857300173,0
"8","20",8,1,0,0,0.5,0,0,1.2414038628036,0.03090355840974,0.03090355840974,0.191460940615862,0.0157030514921096,-0.771878959416871,-43.455031280932,0
"9","20",9,1,0,0,0.5,0,0,0.916121638558017,-0.134320665672335,-0.134320665672335,0.673965563922202,-0.0309412729180652,-1.54324962107298,-44.7984176769001,0
"10","20",10,1,0,0,0.5,0,0,1.20012648773879,-0.133147710288336,-0.133147710288336,0.550521667504474,-0.117592821338884,0.422524688917579,-54.2698146495293,0
"11","20",11,1,0,0,0.5,0,0,0.710410439849216,-0.0826585561213825,-0.0826585561213825,0.392723936492641,-0.483424605096612,-1.25963042835532,-40.4352263282929,0
"12","20",12,1,0,0,0.5,0,0,1.0258577088698,0.166967341653764,0.166967341653764,0.584831415147494,-0.0283455050488013,-1.51322682395881,-51.5612723493914,0
"13","20",13,1,0,0,0.5,0,0,0.699375306149302,-0.0976835192326908,-0.0976835192326908,0.673002376959186,-0.180290760972727,-0.00605359375173355,-38.731883659202,0
"14","20",14,1,0,0,0.5,0,0,0.858649485112877,-0.0355105104536364,-0.0355105104536364,0.67969056159551,-0.41255363030845,-0.735223695847023,-51.8326694403914,0
"15","20",15,1,0,0,0.5,0,0,1.24225264411147,-0.0672238935266018,-0.0672238935266018,0.291552254281148,-0.113156955607945,-0.247016080325098,-43.9456444336263,0
"16","20",16,1,0,0,0.5,0,0,1.13089425590523,-0.129525337354057,-0.129525337354057,0.471348267610575,0.258218148887309,-0.033538645079315,-33.3471508714037,0
"17","20",17,1,0,0,0.5,0,0,0.929039388605212,0.012437746447584,0.012437746447584,0.354004979678805,-1.18057618231762,0.546359100248791,-46.7889827474802,0
"18","20",18,1,0,0,0.5,0,0,1.0120892173615,-0.0171505692934604,-0.0171505692934604,0.411168551210697,-0.455030873808253,-0.587884419356666,-44.6398993187632,0
"19","20",19,1,0,0,0.5,0,0,0.607454837705444,-0.144222289727937,-0.144222289727937,0.441171042974413,-0.538929196515523,1.00430657531097,-33.583469232133,0
"20","20",20,1,0,0,0.5,0,0,1.15077959067687,0.28672835929631,0.28672835929631,0.523208685156222,0.893228064246874,-0.430341926079013,-39.5825674564713,0
"21","20",21,1,0,0,0.5,0,0,1.59475587694321,0.0164006496234751,0.0164006496234751,0.438545846003514,0.287156864093151,0.049979636217904,-54.4313013513278,0
"22","20",22,1,0,0,0.5,0,0,0.796608637006846,0.183586564864209,0.183586564864209,0.338489248653746,0.646249696837429,0.0607109303447115,-27.8118763330158,0
"23","20",23,1,0,0,0.5,0,0,0.85110132348519,-0.260245077107679,-0.260245077107679,0.762526116793337,-0.243161088721703,-0.598210808133483,-47.9344318704956,52
"24","20",24,1,0,0,0.5,0,0,0.833991117236372,-0.102260699538607,-0.102260699538607,0.25600628505775,0.668180875556581,0.252944424415723,-39.8291903655806,0
"25","20",25,1,0,0,0.5,0,0,0.94276615026827,0.00324490491943789,0.00324490491943789,0.505302652716033,-0.772380855841861,-0.755111081566385,-48.4966582444523,0
"26","20",26,1,0,0,0.5,0,0,0.795353446027335,-0.0901835853233129,-0.0901835853233129,0.342481800051118,-0.3115130414911,-0.465858448196553,-32.5949572896655,0
"27","20",27,1,0,0,0.5,0,0,0.860748158053065,-0.256214254679152,-0.256214254679152,0.661942988518297,-0.108957056814659,-0.432858713412082,-42.9701054558517,0
"28","20",28,1,0,0,0.5,0,0,1.22518543262306,0.0608538985987678,0.0608538985987678,0.407685771151824,-0.232251192479001,0.23751682479691,-39.9628811456545,0
"29","20",29,1,0,0,0.5,0,0,0.668788589685924,0.143027536739314,0.143027536739314,0.504259739937562,-1.32533206676982,-0.332650348573919,-46.6908722922106,0
"30","20",30,1,0,0,0.5,0,0,0.703761983575891,0.12271888822805,0.12271888822805,0.572049157971806,0.789130617719336,-0.821271467119368,-31.0745478115879,0
"31","20",31,1,0,0,0.5,0,0,0.618239917939668,-0.0423126731885912,-0.0423126731885912,0.962769230618809,1.54756645072483,1.80497046274494,-54.8063510635069,0
"32","20",32,1,0,0,0.5,0,0,1.62109957272597,-0.140848585708685,-0.140848585708685,0.58409001471078,-0.339910605133028,0.458449941516998,-48.5086724615374,0
