,X,tree.size,tree.number,sig2.1,sig2.2,sig2.3,sig2.4,theta.1,theta.2,alpha.1,alpha.2,alpha.3,alpha.4,est.sig2.1,est.sig2.2,est.sig2.3,est.sig2.4,est.theta.1,est.theta.2,est.alpha.1,est.alpha.2,est.alpha.3,est.alpha.4,log.likelihood,convergence
1393,1,150,1,1,0,0,0.5,1,2,0,0,0,0,26.35061112,-12.89435364,-12.89435364,20.81147265,-0.107409819,0.617883682,3.840573247,-2.315730096,-2.315730096,10.35816746,-498.5204957,0
1394,2,150,1,1,0,0,0.5,1,2,0,0,0,0,169.0000286,-89.33562029,-89.33562029,47.44877618,-1.092644234,0.657046791,19.93979527,-16.73168658,-16.73168658,19.44140427,-538.233376,0
1395,3,150,1,1,0,0,0.5,1,2,0,0,0,0,52.01002796,21.54636273,21.54636273,18.07345976,-1.169579588,0.037363623,3.441682784,0.526560968,0.526560968,3.301051871,-588.0765589,0
1396,4,150,1,1,0,0,0.5,1,2,0,0,0,0,41.05095685,-1.961537686,-1.961537686,4.159518032,-0.196859915,1.149077142,4.770683508,-0.240756527,-0.240756527,2.274585045,-509.8253938,0
1397,5,150,2,1,0,0,0.5,1,2,1.386294361,0,0,0.693147181,547.5672113,16.88627866,16.88627866,0.52075143,0.981501109,1.85174399,834.9543318,-72.56997071,-72.56997071,16.97878871,-256.7656827,0
1398,6,150,2,1,0,0,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,39.28775238,-44.3203524,-44.3203524,91.33579036,1.150765963,1.823210524,31.1665347,-20.9932809,-20.9932809,87.83391762,-300.1377403,0
1399,7,150,2,1,0,0,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,42.00259946,-95.31146292,-95.31146292,216.2788751,0.981873084,1.901273953,214.5020894,-220.7517312,-220.7517312,259.8752476,-295.0595352,0
1400,8,150,2,1,0,0,0.5,1,2,1.386294361,0.519860385,0,0.693147181,23.65278229,169.9271978,169.9271978,1738.504483,0.889961681,1.991609442,213.2543508,512.7406,512.7406,1909.892404,-285.2921887,0
1401,9,150,3,1,0,0,0.5,1,2,0.693147181,0,0,0.34657359,1.094257822,0.175032015,0.175032015,0.599916145,0.986706433,1.728801713,0.776730224,0.321567836,0.321567836,0.373177845,-287.8811934,0
1402,10,150,3,1,0,0,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,1.101058767,-0.093724023,-0.093724023,0.587974259,1.157067019,1.585936068,0.965130311,0.145987813,0.145987813,0.517830498,-266.1339913,0
1403,11,150,3,1,0,0,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,0.795286123,0.002326358,0.002326358,0.492953485,0.497230422,1.110210029,0.622008051,-0.160576839,-0.160576839,0.463969073,-252.6976969,0
1404,12,150,3,1,0,0,0.5,1,2,0.693147181,0.259930193,0,0.34657359,1.302172986,-0.178589301,-0.178589301,0.511390727,1.012431772,1.538022556,0.863107331,0.000655402,0.000655402,0.360510868,-281.1072894,0
1405,13,150,4,1,0,0,0.5,1,2,0.138629436,0,0,0.069314718,4436.931069,2038.401796,2038.401796,6171.607948,0.965740448,0.575636944,924.9306306,164.395654,164.395654,2544.851329,-496.6792593,0
1406,14,150,4,1,0,0,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,4034.047765,-1473.852169,-1473.852169,7209.239186,0.821445177,1.29538013,854.3597465,133.2753777,133.2753777,1971.589177,-531.8131488,0
1407,15,150,4,1,0,0,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,1734.143611,-259.7904683,-259.7904683,38.91905265,1.168568735,0.770217801,273.2908959,-103.330606,-103.330606,79.5548082,-500.3002289,0
1408,16,150,4,1,0,0,0.5,1,2,0.138629436,0.051986039,0,0.069314718,188.451029,-67.94025418,-67.94025418,47.58889822,-0.278024342,1.185156698,68.81438238,-30.45189695,-30.45189695,21.51283538,-474.1850331,0
1409,17,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,17.01062461,11.17520713,11.17520713,10.66962797,1.078192482,1.212858201,2.83316612,1.16449947,1.16449947,3.13768677,-454.9593119,0
1410,18,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,22.40746806,4.988717245,4.988717245,11.20888866,-0.571328622,-1.170684579,3.371240625,-1.425909148,-1.425909148,5.910855512,-498.1353397,0
1411,19,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,44.51543875,16.03362635,16.03362635,10.83457952,0.89894204,0.39341826,5.028075783,0.195967125,0.195967125,2.095198261,-541.2347105,0
1412,20,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,56.41820269,87.48035073,87.48035073,140.1285782,-2.028431309,-2.018951028,11.69721941,-5.887381719,-5.887381719,37.13269884,-471.7322067,0
1413,21,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0,0,0.693147181,700.4999862,401.2199205,401.2199205,229.8037209,1.152391294,2.163739934,1165.441549,148.3708092,148.3708092,211.8551624,-210.865737,0
1414,22,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,666.5291832,-435.7830825,-435.7830825,284.935301,1.009721986,1.768601137,1573.612237,-1243.913989,-1243.913989,997.6584023,-236.2269433,0
1415,23,150,2,1,0.5,0.5,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,398.4644809,371.9459747,371.9459747,347.1923214,0.749799729,1.491151789,163.4414251,108.6108818,108.6108818,106.6578329,-277.4718341,0
1416,24,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0.519860385,0,0.693147181,46.49508668,110.2702425,110.2702425,261.5228694,1.020371873,1.892519456,46.42883826,60.34067322,60.34067322,431.1589353,-209.4324705,0
1417,25,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0,0,0.34657359,1.000461511,0.549779709,0.549779709,0.489259521,1.036069125,1.802008619,0.678794215,0.042665213,0.042665213,0.387839818,-199.0835247,0
1418,26,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,1.095419937,0.5227861,0.5227861,0.499347636,1.035425336,1.382390171,0.717337412,0.249005467,0.249005467,0.403928065,-225.4679845,0
1419,27,150,3,1,0.5,0.5,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,1.340664275,0.750668868,0.750668868,0.728913912,0.662477308,1.324817505,1.039601056,-0.473746918,-0.473746918,0.773455898,-223.7037146,0
1420,28,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0.259930193,0,0.34657359,0.869159138,0.383739596,0.383739596,0.458225154,1.16311054,1.617931563,0.566138862,0.038111169,0.038111169,0.421631066,-224.8152038,0
1421,29,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0,0,0.069314718,1033.708332,-234.6179994,-234.6179994,131.5530898,0.067686676,-0.025875998,711.5267847,-561.5299776,-561.5299776,582.8373071,-379.3732419,0
